Player,GP,G,A,TP,PPG,PIM,POS,firstYear,lastYear
David Schriner,484,201,204,405,0.8370000000000001,148,LW,1934,1946
Petri Skriko,541,183,222,405,0.7490000000000001,246,LW/RW,1984,1993
Earl Ingarfield,746,179,226,405,0.5429999999999999,239,C,1958,1971
Pat Hickey,644,192,212,404,0.627,351,F,1975,1985
Blake Dunlop,550,130,274,404,0.735,172,F,1973,1984
Mike McEwen,716,108,296,404,0.564,460,D,1976,1988
Adam Creighton,708,187,216,403,0.569,1077,C,1983,1997
Sean Couturier,649,156,247,403,0.621,255,C,2011,2021
Doug Jarvis,964,139,264,403,0.418,263,C,1975,1988
Brad McCrimmon,1222,81,322,403,0.33,1416,D,1979,1997
Paul Gardner,447,201,201,402,0.899,207,C,1976,1986
Bill Hicke,729,168,234,402,0.551,395,RW,1958,1972
Marc Tardif,517,194,207,401,0.7759999999999999,443,LW,1969,1983
Alexander Edler,878,99,302,401,0.457,611,D,2006,2021
Herb Cain,570,206,194,400,0.7020000000000001,178,LW,1933,1946
Alan Haworth,524,189,211,400,0.763,425,C,1980,1988
Valeri Bure,621,174,226,400,0.644,221,RW,1994,2006
Mike McPhee,744,200,199,399,0.536,661,LW,1983,1994
Tom McCarthy,461,178,221,399,0.866,330,LW,1979,1988
Andrew Cogliano,1013,165,234,399,0.39399999999999996,345,C/LW,2007,2021
Jim Lorentz,659,161,238,399,0.605,208,C,1968,1978
Adrian Aucoin,1108,121,278,399,0.36,796,D,1994,2013
Petr Svoboda,1028,58,341,399,0.38799999999999996,1605,D,1984,2001
Eric Daze,601,226,172,398,0.662,176,LW,1994,2006
Charlie Conacher,459,225,173,398,0.867,523,RW,1929,1941
Anders Hedberg,465,172,226,398,0.856,144,RW,1978,1985
Matt Cooke,1046,167,231,398,0.38,1135,LW,1998,2015
George Ferguson,797,160,238,398,0.499,431,C,1972,1984
Steve Chiasson,751,93,305,398,0.53,1107,D,1986,1999
Alexander Frolov,579,175,222,397,0.6859999999999999,218,LW,2002,2011
Clint Smith,483,161,236,397,0.8220000000000001,24,C,1936,1947
Scott Walker,829,151,246,397,0.479,1162,RW,1994,2010
Buddy O'Connor,509,140,257,397,0.78,34,C,1941,1951
Steve Konowalchuk,790,171,225,396,0.501,703,LW,1991,2006
Gus Bodnar,667,142,254,396,0.594,207,C,1943,1955
Nazem Kadri,617,181,214,395,0.64,492,C,2009,2021
Maxim Afinogenov,651,158,237,395,0.607,486,RW,1999,2010
Errol Thompson,599,208,185,393,0.6559999999999999,184,LW,1970,1981
Mark Stone,454,151,242,393,0.866,149,RW,2011,2021
R.J. Umberger,779,180,212,392,0.503,312,C/W,2005,2016
Dennis Ververgaert,583,176,216,392,0.672,247,RW,1973,1981
Cal Gardner,696,154,238,392,0.563,517,C,1945,1957
Mats Zuccarello,576,129,263,392,0.6809999999999999,233,RW,2010,2021
Yevgeni Kuznetsov,483,121,271,392,0.812,250,C,2013,2021
Andy Hebenton,630,189,202,391,0.621,83,RW,1955,1964
Lowell MacDonald,506,180,210,390,0.7709999999999999,92,RW,1961,1978
Dave Manson,1103,102,288,390,0.354,2792,D,1986,2002
Jarret Stoll,872,144,244,388,0.445,618,C,2002,2016
Eric Weinrich,1157,70,318,388,0.335,825,D,1988,2006
Mark Parrish,722,215,172,387,0.536,246,RW,1998,2011
Marty Barry,509,195,192,387,0.76,231,C,1927,1940
Ric Seiling,738,179,208,387,0.524,573,RW,1977,1987
Daniel Cleary,938,165,222,387,0.413,492,RW/LW,1997,2015
Dennis Wideman,815,99,288,387,0.475,503,D,2005,2017
Ryan Callahan,757,186,200,386,0.51,428,RW,2006,2020
Mika Zibanejad,552,177,209,386,0.6990000000000001,159,C,2011,2021
Bill Hay,506,113,273,386,0.763,244,C,1959,1967
Pavel Kubina,970,110,276,386,0.39799999999999996,1123,D,1997,2012
Mark Hunter,628,213,171,384,0.611,1426,RW,1981,1993
Bob Probert,935,163,221,384,0.41100000000000003,3300,LW,1985,2002
Michael Frolik,850,159,225,384,0.452,317,RW/LW,2008,2021
Sergei Makarov,424,134,250,384,0.9059999999999999,317,RW,1989,1997
Zarley Zalapski,637,99,285,384,0.603,684,D,1987,2000
Kevin Shattenkirk,684,83,301,384,0.561,412,D,2010,2021
Jeff Norton,799,52,332,384,0.48100000000000004,615,D,1987,2002
Jean-Guy Gendron,863,182,201,383,0.444,701,LW,1955,1972
Mike Grier,1060,162,221,383,0.361,510,RW,1996,2011
Mush March,759,153,230,383,0.505,540,RW,1928,1945
Bob Errey,895,170,212,382,0.42700000000000005,1005,LW,1983,1998
Steven Reinprecht,663,140,242,382,0.5760000000000001,186,C,1999,2011
Martin Lapointe,991,181,200,381,0.384,1417,RW,1991,2008
Todd White,653,141,240,381,0.583,228,C,1997,2011
Adam Henrique,670,187,192,379,0.5660000000000001,204,C/LW,2010,2021
David Pastrnak,390,180,199,379,0.972,171,RW,2014,2021
Andrei Kovalenko,620,173,206,379,0.611,389,RW,1992,2001
Orest Kindrachuk,507,118,261,379,0.748,648,C,1972,1982
Richard Zednik,745,199,179,378,0.507,563,LW,1995,2009
Greg Gilbert,837,147,228,378,0.452,576,LW,1981,1996
German Titov,624,157,220,377,0.604,311,C,1993,2002
Bob Kelly,837,154,208,377,0.45,1454,LW,1970,1982
Mike Johnson,661,129,246,375,0.5670000000000001,315,RW,1996,2008
Steve Smith,804,72,303,375,0.466,2139,D,1984,2001
Doug Brown,854,160,214,374,0.43799999999999994,210,RW,1986,2001
Adam Deadmarsh,567,184,189,373,0.6579999999999999,819,RW,1994,2003
Jeff Halpern,976,152,221,373,0.382,641,C,1999,2014
Greg Paslawski,650,187,185,372,0.5720000000000001,169,RW,1983,1994
Dean Evason,803,139,233,372,0.46299999999999997,1000,C,1983,1996
Johnny Gottselig,589,176,195,371,0.63,203,LW,1928,1945
Tony Hrkac,758,132,239,371,0.489,173,C,1986,2003
Johan Franzen,602,187,183,370,0.615,401,LW,2005,2020
Ryan Malone,647,179,191,370,0.5720000000000001,693,LW,2003,2015
Juha Widing,575,144,226,370,0.643,208,C,1969,1977
John-Michael Liles,836,87,283,370,0.44299999999999995,286,D,2003,2017
Moe Mantha,656,81,289,370,0.564,501,D,1980,1992
Cam Atkinson,576,198,171,369,0.6409999999999999,142,RW,2011,2021
Sid Smith,601,186,183,369,0.614,94,LW,1946,1958
Matt Moulson,650,176,193,369,0.568,122,LW/RW,2007,2018
Dave Reid,961,165,204,369,0.384,253,LW,1983,2001
Fleming Mackell,665,149,220,369,0.555,562,C,1947,1960
Greg Johnson,785,145,224,369,0.47,345,C,1993,2007
Stefan Persson,622,52,317,369,0.593,574,D,1977,1986
Brad Maxwell,612,98,270,368,0.601,1292,D,1977,1987
Jim Neilson,1023,69,299,368,0.36,904,D,1962,1978
Mark Hardy,915,62,306,368,0.402,1293,D,1979,1994
Bill Cook,474,229,138,367,0.774,386,RW,1926,1937
Artyom Anisimov,754,178,189,367,0.48700000000000004,214,C/LW,2008,2021
Mikael Backlund,693,146,221,367,0.53,337,C/W,2008,2021
Oliver Ekman Larsson,725,125,242,367,0.506,452,D,2010,2021
Gary Bergman,838,68,299,367,0.43799999999999994,1249,D,1964,1976
Jorgen Pettersson,435,174,192,366,0.841,117,LW,1980,1986
Ruslan Fedotenko,863,173,193,366,0.424,472,LW/RW,2000,2013
Jaden Schwartz,524,146,220,366,0.698,135,LW,2011,2021
Grant Ledyard,1028,90,276,366,0.35600000000000004,766,D,1984,2002
Mike Comrie,589,168,197,365,0.62,443,C,2000,2011
Marcus Johansson,653,130,235,365,0.5589999999999999,108,C/LW,2010,2021
